STATES/UT,No. of Companies - Public,AuthorizedCapital_Public (In Crores),No. of Companies - Private,AuthorizedCapital_Private  (In Crores),No. of Companies - Total,Authorized Capital - Total  (In Crores)
Andaman and Nicobar Islands,2,2,1,50,3,52
Andhra Pradesh,51,15770.75,36,1135.99,87,16906.74
Arunachal Pradesh,6,10.77,5,23.2,11,33.97
Assam,29,17149.85,34,938,63,18087.85
Bihar,66,78370.3,14,281.82,80,78652.12
Chandigarh,17,1032.21,18,1556.09,35,2588.3
Chhattisgarh,32,25215.2,7,1595.3,39,26810.5
Dadar Nagar Haveli,3,510.05,0,0,3,510.05
Daman and Diu,1,50,1,0.25,2,50.25
Delhi,217,446071.87,41,10451.92,258,456523.79
Goa,17,492.25,4,10.76,21,503.01
Gujarat,87,161751.93,16,173.23,103,161925.16
Haryana,28,70125.2,6,680.5,34,70805.7
Himachal Pradesh,10,8231.2,12,3237.5,22,11468.7
Jammu and Kashmir,24,914.15,17,5062.86,41,5977.01
Jharkhand,23,14644.95,25,9240.15,48,23885.1
Karnataka,85,155578.25,40,10882.45,125,166460.7
Kerala,72,14134.95,75,3282.81,147,17417.76
Lakshadweep,0,0,3,10.1,3,10.1
Madhya Pradesh,64,90523.23,29,2046.86,93,92570.09
Maharashtra,155,351155.21,60,7411.08,215,358566.29
Manipur,11,266.75,7,15,18,281.75
Meghalaya,15,10789.25,9,210.1,24,10999.35
Mizoram,3,20.1,4,40.2,7,60.3
Nagaland,3,13.5,6,196,9,209.5
Orissa,75,18379.31,15,5256.55,90,23635.86
Pondicherry,0,0,16,719.56,16,719.56
Punjab,12,33231.95,3,1.07,15,33233.02
Rajasthan,67,73903.58,3,87,70,73990.58
Tamil Nadu,75,108402.4,14,121.19,89,108523.59
Telangana,58,44560.3,42,411.88,100,44972.18
Tripura,9,1246,5,145,14,1391
Uttar Pradesh,110,320176.11,12,5188.22,122,325364.33
Uttarakhand,23,8867.15,3,85.1,26,8952.25
West Bengal,68,52530.7,34,8859.77,102,61390.47
Total,1518,2124121.42,617,79407.51,2135,2203528.93
